"Player","Pos","Team","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","TTL","AVG"
"Omarion Hampton","RB","LAC","52","36","68","56","39","","","","","","","","","","","","","","251","50.2"
"Caleb Williams","QB","CHI","67","57","59","68","bye","","","","","","","","","","","","","","251","62.8"
"Travis Kelce","TE","KC","51","46","53","48","51","","","","","","","","","","","","","","249","49.8"
"Tee Higgins","WR","CIN","41","60","46","40","60","","","","","","","","","","","","","","247","49.4"
"Brandin Cooks","WR","NO","57","48","51","60","30","","","","","","","","","","","","","","246","49.2"
"Brenton Strange","TE","JAC","52","64","58","50","22","","","","","","","","","","","","","","246","49.2"
"T.J. Hockenson","TE","MIN","45","34","41","71","55","","","","","","","","","","","","","","246","49.2"
"Cole Kmet","TE","CHI","60","61","55","68","bye","","","","","","","","","","","","","","244","61.0"
"Michael Wilson","WR","ARI","44","38","49","65","47","","","","","","","","","","","","","","243","48.6"
"Calvin Ridley","WR","TEN","54","57","61","27","44","","","","","","","","","","","","","","243","48.6"
"Keon Coleman","WR","BUF","75","38","45","43","42","","","","","","","","","","","","","","243","48.6"
"Tucker Kraft","TE","GB","44","62","57","79","bye","","","","","","","","","","","","","","242","60.5"
"Jake Ferguson","TE","DAL","47","65","42","54","33","","","","","","","","","","","","","","241","48.2"
"JuJu Smith-Schuster","WR","KC","49","42","50","57","42","","","","","","","","","","","","","","240","48.0"
"AJ Barner","TE","SEA","44","58","31","57","49","","","","","","","","","","","","","","239","47.8"
"Jake Tonges","TE","SF","30","56","45","45","63","","","","","","","","","","","","","","239","47.8"
"Justin Fields","QB","NYJ","64","29","0","63","82","","","","","","","","","","","","","","238","59.5"
"Rome Odunze","WR","CHI","63","68","53","52","bye","","","","","","","","","","","","","","236","59.0"
"Jalen Nailor","WR","MIN","49","47","50","48","42","","","","","","","","","","","","","","236","47.2"
"Deebo Samuel Sr.","WR","WAS","54","61","25","49","46","","","","","","","","","","","","","","235","47.0"
"Drake London","WR","ATL","67","56","57","55","bye","","","","","","","","","","","","","","235","58.8"
"Elic Ayomanor","WR","TEN","45","48","52","41","48","","","","","","","","","","","","","","234","46.8"
"Jaylen Waddle","WR","MIA","31","47","53","52","49","","","","","","","","","","","","","","232","46.4"
"Kayshon Boutte","WR","NE","58","43","56","34","37","","","","","","","","","","","","","","228","45.6"
"De'Von Achane","RB","MIA","35","53","47","44","48","","","","","","","","","","","","","","227","45.4"
"Ricky Pearsall","WR","SF","64","63","63","37","0","","","","","","","","","","","","","","227","56.8"
"Cooper Kupp","WR","SEA","46","45","31","49","54","","","","","","","","","","","","","","225","45.0"
"Troy Franklin","WR","DEN","45","48","41","47","44","","","","","","","","","","","","","","225","45.0"
"Zay Flowers","WR","BAL","46","44","49","49","36","","","","","","","","","","","","","","224","44.8"
"Andrei Iosivas","WR","CIN","34","58","35","43","54","","","","","","","","","","","","","","224","44.8"
"Chig Okonkwo","TE","TEN","50","50","46","35","42","","","","","","","","","","","","","","223","44.6"
"Marquise Brown","WR","KC","57","45","49","38","33","","","","","","","","","","","","","","222","44.4"
"Aaron Rodgers","QB","PIT","56","59","54","53","bye","","","","","","","","","","","","","","222","55.5"
"Mac Jones","QB","SF","0","71","65","0","86","","","","","","","","","","","","","","222","74.0"
"DJ Moore","WR","CHI","56","60","53","52","bye","","","","","","","","","","","","","","221","55.3"
"Jaxon Smith-Njigba","WR","SEA","40","42","28","53","55","","","","","","","","","","","","","","218","43.6"
"Romeo Doubs","WR","GB","34","50","58","75","bye","","","","","","","","","","","","","","217","54.3"
"Keenan Allen","WR","LAC","40","32","56","49","39","","","","","","","","","","","","","","216","43.2"
"Malik Nabers","WR","NYG","64","66","61","25","0","","","","","","","","","","","","","","216","54.0"
"James Cook III","RB","BUF","48","35","40","43","49","","","","","","","","","","","","","","215","43.0"
"Ashton Jeanty","RB","LV","54","39","40","44","37","","","","","","","","","","","","","","214","42.8"
"Kyle Pitts Sr.","TE","ATL","59","53","54","48","bye","","","","","","","","","","","","","","214","53.5"
"Dalton Schultz","TE","HOU","34","29","50","60","41","","","","","","","","","","","","","","214","42.8"
"Khalil Shakir","WR","BUF","60","37","42","31","43","","","","","","","","","","","","","","213","42.6"
"Sterling Shepard","WR","TB","37","60","44","45","25","","","","","","","","","","","","","","211","42.2"
"Jake Browning","QB","CIN","0","48","53","48","62","","","","","","","","","","","","","","211","52.8"
"Xavier Hutchinson","WR","HOU","43","28","39","48","47","","","","","","","","","","","","","","205","41.0"
"Dallas Goedert","TE","PHI","52","0","61","43","48","","","","","","","","","","","","","","204","51.0"
"Bijan Robinson","RB","ATL","63","43","53","45","bye","","","","","","","","","","","","","","204","51.0"
"Zach Ertz","TE","WAS","45","62","30","35","31","","","","","","","","","","","","","","203","40.6"
"Tommy Tremble","TE","CAR","29","35","33","52","53","","","","","","","","","","","","","","202","40.4"
"Cedric Tillman","WR","CLE","67","69","49","15","0","","","","","","","","","","","","","","200","50.0"
