"Player","Pos","Team","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","TTL","AVG"
"Kyle Monangai","RB","CHI","9","28","17","19","bye","","","","","","","","","","","","","","73","18.3"
"Devin Singletary","RB","NYG","10","4","16","19","23","","","","","","","","","","","","","","72","14.4"
"Blake Corum","RB","LAR","10","18","16","22","6","","","","","","","","","","","","","","72","14.4"
"Brevyn Spann-Ford","TE","DAL","10","11","15","15","20","","","","","","","","","","","","","","71","14.2"
"Dylan Sampson","RB","CLE","33","17","5","9","7","","","","","","","","","","","","","","71","14.2"
"DeAndre Hopkins","WR","BAL","18","10","14","18","11","","","","","","","","","","","","","","71","14.2"
"Devaughn Vele","WR","NO","17","24","0","4","25","","","","","","","","","","","","","","70","17.5"
"Michael Mayer","TE","LV","40","24","5","0","0","","","","","","","","","","","","","","69","23.0"
"Austin Ekeler","RB","WAS","33","36","0","0","0","","","","","","","","","","","","","","69","34.5"
"Malik Heath","WR","GB","11","22","17","19","bye","","","","","","","","","","","","","","69","17.3"
"Durham Smythe","TE","CHI","7","6","23","33","bye","","","","","","","","","","","","","","69","17.3"
"Jalin Hyatt","WR","NYG","0","0","6","29","34","","","","","","","","","","","","","","69","23.0"
"Tyler Allgeier","RB","ATL","19","22","6","21","bye","","","","","","","","","","","","","","68","17.0"
"Hunter Luepke","RB","DAL","8","14","9","17","20","","","","","","","","","","","","","","68","13.6"
"Isaac TeSlaa","WR","DET","3","17","14","12","21","","","","","","","","","","","","","","67","13.4"
"Jack Bech","WR","LV","4","5","16","5","36","","","","","","","","","","","","","","66","13.2"
"LeQuint Allen Jr.","RB","JAC","9","11","21","12","13","","","","","","","","","","","","","","66","13.2"
"Luther Burden III","WR","CHI","18","12","17","19","bye","","","","","","","","","","","","","","66","16.5"
"Tim Patrick","WR","JAC","7","12","22","20","5","","","","","","","","","","","","","","66","13.2"
"Miles Sanders","RB","DAL","11","20","27","7","0","","","","","","","","","","","","","","65","16.3"
"Chris Manhertz","TE","NYG","18","14","13","12","8","","","","","","","","","","","","","","65","13.0"
"Reggie Gilliam","RB","BUF","12","19","9","17","8","","","","","","","","","","","","","","65","13.0"
"Zaire Mitchell-Paden","TE","BAL","15","14","15","9","12","","","","","","","","","","","","","","65","13.0"
"Harrison Bryant","TE","HOU","0","19","17","10","19","","","","","","","","","","","","","","65","16.3"
"Ollie Gordon II","RB","MIA","12","7","15","15","14","","","","","","","","","","","","","","63","12.6"
"Cooper Rush","QB","BAL","0","3","0","17","43","","","","","","","","","","","","","","63","21.0"
"Bhayshul Tuten","RB","JAC","4","18","12","16","12","","","","","","","","","","","","","","62","12.4"
"Brian Robinson Jr.","RB","SF","18","16","6","10","12","","","","","","","","","","","","","","62","12.4"
"John FitzPatrick","TE","GB","15","21","15","10","bye","","","","","","","","","","","","","","61","15.3"
"Will Dissly","TE","LAC","37","23","0","0","0","","","","","","","","","","","","","","60","30.0"
"Noah Brown","WR","WAS","33","27","0","0","0","","","","","","","","","","","","","","60","30.0"
"Ryan Miller","WR","TB","9","18","18","6","9","","","","","","","","","","","","","","60","12.0"
"Beaux Collins","WR","NYG","2","0","9","21","28","","","","","","","","","","","","","","60","15.0"
"Robbie Ouzts","TE","SEA","19","27","14","0","0","","","","","","","","","","","","","","60","20.0"
"Zavier Scott","RB","MIN","0","0","17","29","14","","","","","","","","","","","","","","60","20.0"
"Tucker Fisk","TE","LAC","0","0","29","13","17","","","","","","","","","","","","","","59","19.7"
"Braelon Allen","RB","NYJ","20","9","23","6","0","","","","","","","","","","","","","","58","14.5"
"Chris Rodriguez Jr.","RB","WAS","0","0","22","20","15","","","","","","","","","","","","","","57","19.0"
"Tyler Badie","RB","DEN","14","13","2","8","19","","","","","","","","","","","","","","56","11.2"
"Skyy Moore","WR","SF","3","2","34","8","8","","","","","","","","","","","","","","55","11.0"
"Justin Watson","WR","HOU","35","20","0","0","0","","","","","","","","","","","","","","55","27.5"
"Lucas Krull","TE","DEN","22","9","22","0","0","","","","","","","","","","","","","","53","17.7"
"Emari Demercado","RB","ARI","0","1","7","26","19","","","","","","","","","","","","","","53","13.3"
"Curtis Samuel","WR","BUF","0","0","0","20","33","","","","","","","","","","","","","","53","26.5"
"Antonio Gibson","RB","NE","5","10","19","9","9","","","","","","","","","","","","","","52","10.4"
"Kyle Williams","WR","NE","7","10","9","14","10","","","","","","","","","","","","","","50","10.0"
"Zamir White","RB","LV","9","21","19","0","0","","","","","","","","","","","","","","49","16.3"
"Isaiah Likely","TE","BAL","0","0","0","26","23","","","","","","","","","","","","","","49","24.5"
"Aaron Jones Sr.","RB","MIN","28","20","0","0","0","","","","","","","","","","","","","","48","24.0"
"Darren Waller","TE","MIA","0","0","0","16","32","","","","","","","","","","","","","","48","24.0"
"Emanuel Wilson","RB","GB","2","5","15","25","bye","","","","","","","","","","","","","","47","11.8"
"Brashard Smith","RB","KC","8","5","8","19","6","","","","","","","","","","","","","","46","9.2"
"Ray Davis","RB","BUF","10","20","4","5","6","","","","","","","","","","","","","","45","9.0"
"David Sills V","WR","ATL","2","3","25","15","bye","","","","","","","","","","","","","","45","11.3"
"DJ Giddens","RB","IND","18","5","8","4","9","","","","","","","","","","","","","","44","8.8"
"Robert Tonyan","TE","KC","5","8","10","12","9","","","","","","","","","","","","","","44","8.8"
"Roman Wilson","WR","PIT","10","22","9","3","bye","","","","","","","","","","","","","","44","11.0"
"Jake Bobo","WR","SEA","0","10","19","10","5","","","","","","","","","","","","","","44","11.0"
"Najee Harris","RB","LAC","12","20","11","0","0","","","","","","","","","","","","","","43","14.3"
"Michael Carter","RB","ARI","0","0","0","4","39","","","","","","","","","","","","","","43","21.5"
"Konata Mumpfield","WR","LAR","6","11","7","8","9","","","","","","","","","","","","","","41","8.2"
"A.J. Dillon","RB","PHI","8","10","5","8","9","","","","","","","","","","","","","","40","8.0"
"Adam Prentice","RB","DEN","15","9","5","7","4","","","","","","","","","","","","","","40","8.0"
"Jakob Johnson","RB","HOU","7","20","13","0","0","","","","","","","","","","","","","","40","13.3"
"Raheem Mostert","RB","LV","0","0","0","8","32","","","","","","","","","","","","","","40","20.0"
"Colson Yankoff","TE","WAS","4","1","20","10","3","","","","","","","","","","","","","","38","7.6"
"Cade Stover","TE","HOU","36","0","0","0","0","","","","","","","","","","","","","","36","36.0"
"Jack Westover","TE","NE","2","6","3","11","14","","","","","","","","","","","","","","36","7.2"
"KeAndre Lambert-Smith","WR","LAC","14","6","0","7","8","","","","","","","","","","","","","","35","8.8"
"Ben Skowronek","WR","PIT","10","3","4","18","bye","","","","","","","","","","","","","","35","8.8"
"Chris Brooks","RB","GB","9","13","8","5","bye","","","","","","","","","","","","","","35","8.8"
"Scotty Miller","WR","PIT","9","9","4","13","bye","","","","","","","","","","","","","","35","8.8"
"Teagan Quitoriano","TE","ATL","2","15","7","8","bye","","","","","","","","","","","","","","32","8.0"
"Travis Vokolek","TE","ARI","3","18","0","0","11","","","","","","","","","","","","","","32","10.7"
"Trevor Etienne","RB","CAR","2","2","2","11","14","","","","","","","","","","","","","","31","6.2"
"Dare Ogunbowale","RB","HOU","17","10","0","1","3","","","","","","","","","","","","","","31","7.8"
"Albert Okwuegbunam Jr.","TE","LV","0","0","0","0","31","","","","","","","","","","","","","","31","31.0"
"Connor Heyward","TE","PIT","4","9","1","16","bye","","","","","","","","","","","","","","30","7.5"
"Savion Williams","WR","GB","3","11","6","10","bye","","","","","","","","","","","","","","30","7.5"
"Andrew Beck","TE","NYJ","5","1","8","6","10","","","","","","","","","","","","","","30","6.0"
"Dareke Young","WR","SEA","0","8","16","2","4","","","","","","","","","","","","","","30","7.5"
"James Mitchell","TE","CAR","0","0","0","17","13","","","","","","","","","","","","","","30","15.0"
"Ko Kieft","TE","TB","8","5","16","0","0","","","","","","","","","","","","","","29","9.7"
"Julius Chestnut","RB","TEN","6","7","6","7","3","","","","","","","","","","","","","","29","5.8"
"Mitch Tinsley","WR","CIN","5","10","7","7","0","","","","","","","","","","","","","","29","7.3"
"Hassan Haskins","RB","LAC","1","1","7","5","14","","","","","","","","","","","","","","28","5.6"
"Russell Gage Jr.","WR","SF","28","0","0","0","0","","","","","","","","","","","","","","28","28.0"
"Blake Whiteheart","TE","CLE","3","4","2","12","7","","","","","","","","","","","","","","28","5.6"
"Dee Eskridge","WR","MIA","13","4","4","4","2","","","","","","","","","","","","","","27","5.4"
"Ben Yurosek","TE","MIN","10","4","13","0","0","","","","","","","","","","","","","","27","9.0"
"Devontez Walker","WR","BAL","0","13","7","4","0","","","","","","","","","","","","","","24","8.0"
"Ross Dwelley","TE","DET","0","0","4","4","16","","","","","","","","","","","","","","24","8.0"
"Jayden Reed","WR","GB","18","5","0","0","bye","","","","","","","","","","","","","","23","11.5"
"Dameon Pierce","RB","HOU","7","0","0","0","16","","","","","","","","","","","","","","23","11.5"
"Mason Tipton","WR","NO","0","0","9","5","9","","","","","","","","","","","","","","23","7.7"
"Tay Martin","WR","WAS","0","0","0","9","14","","","","","","","","","","","","","","23","11.5"
"Foster Moreau","TE","NO","0","0","0","0","23","","","","","","","","","","","","","","23","23.0"
"Kameron Johnson","WR","TB","1","7","1","6","7","","","","","","","","","","","","","","22","4.4"
"Kevin Austin Jr.","WR","NO","0","0","22","0","0","","","","","","","","","","","","","","22","22.0"
"Jason Brownlee","WR","KC","6","8","7","0","0","","","","","","","","","","","","","","21","7.0"
"George Kittle","TE","SF","21","0","0","0","0","","","","","","","","","","","","","","21","21.0"
"Cameron Latu","TE","PHI","0","6","5","8","2","","","","","","","","","","","","","","21","5.3"
"Derius Davis","WR","LAC","8","5","7","0","0","","","","","","","","","","","","","","20","6.7"
"Darius Cooper","WR","PHI","2","12","6","0","0","","","","","","","","","","","","","","20","6.7"
"George Holani","RB","SEA","0","0","20","0","0","","","","","","","","","","","","","","20","20.0"
"John Metchie III","WR","PHI","1","7","2","5","4","","","","","","","","","","","","","","19","3.8"
"KhaDarel Hodge","WR","ATL","8","9","2","0","bye","","","","","","","","","","","","","","19","6.3"
"Dylan Laube","RB","LV","0","12","7","0","0","","","","","","","","","","","","","","19","9.5"
"Brenden Bates","TE","HOU","0","0","0","6","13","","","","","","","","","","","","","","19","9.5"
"Jimmy Horn Jr.","WR","CAR","0","0","0","0","19","","","","","","","","","","","","","","19","19.0"
"Drew Lock","QB","SEA","0","0","18","0","0","","","","","","","","","","","","","","18","18.0"
"Jalen Royals","WR","KC","0","0","0","14","4","","","","","","","","","","","","","","18","9.0"
"Tyjae Spears","RB","TEN","0","0","0","0","17","","","","","","","","","","","","","","17","17.0"
"Will Shipley","RB","PHI","5","0","0","3","8","","","","","","","","","","","","","","16","5.3"
"Sean Tucker","RB","TB","2","1","0","0","13","","","","","","","","","","","","","","16","5.3"
"David Martin-Robinson","TE","TEN","1","0","1","0","14","","","","","","","","","","","","","","16","5.3"
"Cam Grandy","TE","CIN","0","0","12","4","0","","","","","","","","","","","","","","16","8.0"
"Brady Russell","TE","SEA","0","0","7","7","2","","","","","","","","","","","","","","16","5.3"
"Kimani Vidal","RB","LAC","0","0","0","2","14","","","","","","","","","","","","","","16","8.0"
"Alex Bachman","WR","LV","2","1","4","0","8","","","","","","","","","","","","","","15","3.8"
"Kaleb Johnson","RB","PIT","2","2","0","11","bye","","","","","","","","","","","","","","15","5.0"
"Kirk Cousins","QB","ATL","0","0","15","0","bye","","","","","","","","","","","","","","15","15.0"
"Tank Bigsby","RB","Multi","14","0","0","0","0","","","","","","","","","","","","","","14","14.0"
"Andy Dalton","QB","CAR","0","0","1","13","0","","","","","","","","","","","","","","14","7.0"
"Anthony Richardson Sr.","QB","IND","0","0","7","0","7","","","","","","","","","","","","","","14","7.0"
"Xavier Weaver","WR","ARI","0","0","0","14","0","","","","","","","","","","","","","","14","14.0"
"British Brooks","RB","HOU","0","0","0","3","11","","","","","","","","","","","","","","14","7.0"
"Davis Mills","QB","HOU","0","0","0","0","14","","","","","","","","","","","","","","14","14.0"
"Max Brosmer","QB","MIN","0","0","12","0","1","","","","","","","","","","","","","","13","6.5"
"Nikko Remigio","WR","KC","1","2","5","4","0","","","","","","","","","","","","","","12","3.0"
"Tai Felton","WR","MIN","0","0","12","0","0","","","","","","","","","","","","","","12","12.0"
"Malachi Corley","WR","CLE","0","0","0","0","12","","","","","","","","","","","","","","12","12.0"
"C.J. Ham","RB","MIN","0","0","0","0","12","","","","","","","","","","","","","","12","12.0"
"DeeJay Dallas","RB","CAR","0","0","0","0","12","","","","","","","","","","","","","","12","12.0"
"Bryce Oliver","WR","TEN","3","8","0","0","0","","","","","","","","","","","","","","11","5.5"
"Moliki Matavao","TE","NO","1","4","0","6","0","","","","","","","","","","","","","","11","3.7"
"Brayden Willis","TE","SF","0","6","1","2","2","","","","","","","","","","","","","","11","2.8"
"Tyson Bagent","QB","CHI","0","11","0","0","bye","","","","","","","","","","","","","","11","11.0"
"Jaydon Blue","RB","DAL","0","0","0","0","11","","","","","","","","","","","","","","11","11.0"
"Zonovan Knight","RB","ARI","0","0","0","0","11","","","","","","","","","","","","","","11","11.0"
"Xavier Smith","WR","LAR","2","2","0","6","0","","","","","","","","","","","","","","10","3.3"
"Mitchell Trubisky","QB","BUF","0","10","0","0","0","","","","","","","","","","","","","","10","10.0"
"Anthony Gould","WR","IND","0","0","3","0","7","","","","","","","","","","","","","","10","5.0"
"Myles Price","WR","MIN","0","0","10","0","0","","","","","","","","","","","","","","10","10.0"
"Tahj Brooks","RB","CIN","0","0","10","0","0","","","","","","","","","","","","","","10","10.0"
"Joe Milton III","QB","DAL","0","0","10","0","0","","","","","","","","","","","","","","10","10.0"
"Stephen Carlson","TE","CHI","0","0","0","10","bye","","","","","","","","","","","","","","10","10.0"
"Zach Wilson","QB","MIA","9","0","0","0","0","","","","","","","","","","","","","","9","9.0"
"LaJohntay Wester","WR","BAL","0","3","0","2","4","","","","","","","","","","","","","","9","3.0"
"Dalevon Campbell","WR","CAR","0","0","0","9","0","","","","","","","","","","","","","","9","9.0"
"Taysom Hill","TE","NO","0","0","0","0","9","","","","","","","","","","","","","","9","9.0"
"Terrance Ferguson","TE","LAR","0","4","0","0","4","","","","","","","","","","","","","","8","4.0"
"Nathan Carter","RB","ATL","0","1","7","0","bye","","","","","","","","","","","","","","8","4.0"
"Tyler Goodson","RB","IND","0","0","4","4","0","","","","","","","","","","","","","","8","4.0"
"Cam Akers","RB","MIN","0","0","7","0","1","","","","","","","","","","","","","","8","4.0"
"Devin Neal","RB","NO","7","0","0","0","0","","","","","","","","","","","","","","7","7.0"
"Dominic Lovett","WR","DET","0","3","1","1","2","","","","","","","","","","","","","","7","1.8"
"Kyle Allen","QB","DET","0","3","0","4","0","","","","","","","","","","","","","","7","3.5"
"Malik Turner","WR","SF","0","0","1","0","6","","","","","","","","","","","","","","7","3.5"
"Jalen Cropper","WR","DAL","0","0","0","1","6","","","","","","","","","","","","","","7","3.5"
"Shane Zylstra","TE","DET","6","0","0","0","0","","","","","","","","","","","","","","6","6.0"
"Tim Jones","WR","MIN","3","3","0","0","0","","","","","","","","","","","","","","6","3.0"
"Joshua Dobbs","QB","NE","0","0","0","6","0","","","","","","","","","","","","","","6","6.0"
"Gardner Minshew II","QB","KC","0","0","0","6","0","","","","","","","","","","","","","","6","6.0"
"Trey Lance","QB","LAC","0","0","0","0","6","","","","","","","","","","","","","","6","6.0"
"Carter Runyon","TE","LV","0","0","0","0","6","","","","","","","","","","","","","","6","6.0"
"Cody White","WR","SEA","5","0","0","0","0","","","","","","","","","","","","","","5","5.0"
"Jacardia Wright","RB","SEA","0","0","5","0","0","","","","","","","","","","","","","","5","5.0"
"Jacob Saylors","RB","DET","0","0","1","4","0","","","","","","","","","","","","","","5","2.5"
"Ameer Abdullah","RB","IND","0","0","0","0","5","","","","","","","","","","","","","","5","5.0"
"Will Mallory","TE","IND","0","0","0","0","5","","","","","","","","","","","","","","5","5.0"
"Devin Culp","TE","TB","0","0","0","0","5","","","","","","","","","","","","","","5","5.0"
"Feleipe Franks","QB","ATL","1","0","0","3","bye","","","","","","","","","","","","","","4","2.0"
"Charlie Jones","WR","CIN","0","1","3","0","0","","","","","","","","","","","","","","4","2.0"
"Jacoby Brissett","QB","ARI","0","1","0","0","3","","","","","","","","","","","","","","4","2.0"
"Treyton Welch","TE","NO","0","0","4","0","0","","","","","","","","","","","","","","4","4.0"
"Quintin Morris","TE","JAC","0","0","0","3","1","","","","","","","","","","","","","","4","2.0"
"Nick Vannett","TE","MIN","0","0","0","3","1","","","","","","","","","","","","","","4","2.0"
"Jackson Meeks","WR","DET","0","0","0","4","0","","","","","","","","","","","","","","4","4.0"
"Keaton Mitchell","RB","BAL","0","0","0","0","4","","","","","","","","","","","","","","4","4.0"
"Jalen Brooks","WR","DAL","0","0","0","0","4","","","","","","","","","","","","","","4","4.0"
"Simi Fehoko","WR","ARI","0","0","0","0","4","","","","","","","","","","","","","","4","4.0"
"Raheim Sanders","RB","CLE","3","0","0","0","0","","","","","","","","","","","","","","3","3.0"
"Jalen Milroe","QB","SEA","1","0","1","0","1","","","","","","","","","","","","","","3","1.0"
"Mason Rudolph","QB","PIT","0","3","0","0","bye","","","","","","","","","","","","","","3","3.0"
"Craig Reynolds","RB","DET","0","3","0","0","0","","","","","","","","","","","","","","3","3.0"
"Brett Rypien","QB","CIN","0","0","3","0","0","","","","","","","","","","","","","","3","3.0"
"Tyler Shough","QB","NO","0","0","3","0","0","","","","","","","","","","","","","","3","3.0"
"Bo Melton","WR","GB","0","0","3","0","bye","","","","","","","","","","","","","","3","3.0"
"Tahj Washington","WR","MIA","0","0","0","0","3","","","","","","","","","","","","","","3","3.0"
"Ulysses Bentley IV","RB","IND","2","0","0","0","0","","","","","","","","","","","","","","2","2.0"
"Rasheen Ali","RB","BAL","1","0","0","1","0","","","","","","","","","","","","","","2","1.0"
"Jeff Wilson Jr.","RB","MIA","2","0","0","0","0","","","","","","","","","","","","","","2","2.0"
"Justin Shorter","WR","LV","0","0","2","0","0","","","","","","","","","","","","","","2","2.0"
"Velus Jones Jr.","WR","NO","0","0","0","1","1","","","","","","","","","","","","","","2","1.0"
"Tanner Hudson","TE","CIN","0","0","0","1","1","","","","","","","","","","","","","","2","1.0"
"Josh Williams","RB","TB","0","0","0","0","2","","","","","","","","","","","","","","2","2.0"
"Gunner Olszewski","WR","NYG","0","0","1","0","0","","","","","","","","","","","","","","1","1.0"
"Jahdae Walker","WR","CHI","0","0","0","1","bye","","","","","","","","","","","","","","1","1.0"
"Isaiah Williams","WR","NYJ","0","0","0","1","0","","","","","","","","","","","","","","1","1.0"
"Stone Smartt","TE","NYJ","0","0","0","1","0","","","","","","","","","","","","","","1","1.0"
"Gage Larvadain","WR","CLE","0","0","0","0","1","","","","","","","","","","","","","","1","1.0"
""
""
